Marca temporal,Barrio,Descripción de los daños o asistencia solicitada,categorias
4/3/2017 20:41:10,Standart Norte,techo caido y cloacas tapadas,
4/3/2017 20:41:31,Centro,A la familia Tureo se les lleno de barro y agua l casa .. los evacuamos son 3 adultos 5 menores. Estn en la casa de la suegra pero no tienen colchones todos.. perdieron todo. ,
4/3/2017 20:42:09,Las Flores,colchones .tirantes chapas mixto cemento mayas .colchones ,
4/3/2017 20:42:49,Ciudadela,Ingreso de agua por techo y aberturas,
4/3/2017 20:42:51,13 de Diciembre,Se me esta por caer el techo y una pared y yo estoy sola con mos dos hijos chiquito necesito ayuda urgente,
4/3/2017 20:43:21,Centro,A la familia De la Rosa  se les inundo la casa con agua y barro viven en el rincon del diablo perdieron todo. Colchones.. ropa.. frazadas..,
4/3/2017 20:43:25,Savedra,Casa inundada de agua y lodo .se daños muebles colchón cocina heladera sillón mesa  ropa abuelos  frazadas ,
4/3/2017 20:44:04,Savedra,"Agua con barro en todo el domicilio, levanto pisos flotantes, algunos electros y totalmente el patio",
4/3/2017 20:44:36,Divina Providencia,Rajadura profunda por la que ingreso muchisima agua a la vivienda. La pared se apoya en el muro de contencion lindante con el patio del vecino. ( 90 viv),
4/3/2017 20:45:43,Cordon Forestal,"LA DESTRUCCION FUE CASI EN SU TOTALIDAD, SOMOS UNA FAMILIA COMPUESTA POR 5 INTEGRANTES DE LOS CUALES 3 SON MENORES DE EDAD, LOGRAMOS SER RESCATADOS ANTES DE QUE EL ACCESO SEA IMPOSIBLE. SE INUNDO TODO EL TERRENO YA QUE TENEMOS EL SALITRAL ATRAS NUESTRO ( DE LO CUAL HEMOS HECHO MUCHOS RECLAMOS A LA MUNICIPALIDAD Y A LA COOPERATIVA DOCUMENTADOS Y NUNCA RECIBIMOS RESPUESTA), Y LOS DESAGUES DEL COSTADO ESTABAN TAPADOS, DE LOS CUALES TAMBIEN EN REITERADAS OCACIONES SE PIDIO AYUDA PARA DESTAPAR Y QUE FLUYA ESA AGUA ESTANCADA( SIN RESPUESTA) ESO PROVOCO QUE TODO EL AGUA ENTRARA AL TERRENO E INUNDARA LA CASA CON 1 METRO DE AGUA TODA A MISMO NIVEL TANTO ADENTRO DE LA CASA COMO AFUERA EN EL PATIO. TENEMOS UNA CASA DE MADERA CON DOS DORMITORIOS QUE QUEDARON BAJO AGUA PERDIENDO TODOS LOS MUEBLES CAMAS COLCHONES HELADERA LAVARROPA SILLONES PUERTAS YA QUE ERAN TODAS DE MADERA INCLUSIVE LA DE ENTRADA. SE PERDIO TODO EL CERCO QUE ALGO NOS PROTEGIA DEL AGUA DEL SALITRAL QUEDANDO EL TERRENO TOTALMENTE COMUNICADO CON ESA LAGUNA, LA ENTRADA AL TERRENO QUEDO ENTERRADA EN BARRO HACIENDO EL ACCESO SOLO TRANSITABLE A PIE. 
LO QUE PEDIMOS EN LO POSIBLE CONSEGUIR QUE NOS AYUDEN CON RELLENO PARA LEVANTAR NUESTRO TERRENO DEL NIVEL DEL SALITRAL Y ASI EVITAR FUTURAS INUNDACIONES, A SU VEZ LA POSIBILIDAD DE ACCEDER A MATERIAL PARA PODER REHACER NUESTRA CASA Y ASI COMO LOS ARTEFACTOS BASICOS PARA PODER VOLVER A NUESTRA CASA.
AGUARDAMOS RESPUESTA. GRACIAS.",
4/3/2017 20:46:03,Ceferino ,pude combatir sólo al desastre ocasionado en la ciudad se me daño algunas  cosas ,
4/3/2017 20:46:05,Don Bosco,Peligro de derumbe,
4/3/2017 20:46:40,La Floresta,ayuda de materiales.casa prefabricada toda daniada ,
4/3/2017 20:46:40,Ciudadela Nuevo,Perdida total del dormitorio de arriba y filyraciones de agua en toda la casa,
4/3/2017 20:49:11,Pueyrredon,"Piso de dos habitaciones, horno,  paredes de machimbre, pintura,  colchones, camas, ropa. Se intenta recuperar ropa de cama con lavados.  Palas mecánicas abrieron parcialmente el camino en la calle y recuperaron la vereda. Destrucción total de dos vehículos. Inundacion en taller mecánico,  pérdida de herramientas de trabajo. Se solicito camión chupa para sacar agua de las fosas.",
4/3/2017 20:49:27,Laprida,Caida del paredon yderrunbe de tierra que afecta a la vivienda peligrosamente justo en el baño,
4/3/2017 20:51:20,Las Flores ,"Buen dia mi abuela perdio todo se le vino el cerro y su casa quedo abajo del lodo y el ""muro"" de contencion que le hicieron en el primer alud pero ella tiene 90 años y perdio tdo asta su mascota por favor espero la tengan en cuenta desde ya muchas gracias ",
4/3/2017 20:53:23,Quirno Costa,Techo nuevo,
4/3/2017 20:55:19,Stella Maris,Me llueve entra por el techo ,
4/3/2017 20:55:35,Los Arenales Ruta 26 Km 2,"Rotura total de calle imposibilitado de salir en automóvil. 1,50 mts de barranco",
4/3/2017 20:55:49,Ameguino nuevo km3,Me entro mucha agua x las paredes y techo,
4/3/2017 20:56:09,Pueyerredon ,"Muebles mojados, colchon mojado, autos inundados, paredes de madera y piso flotante dañado, electrodomesticos dañados.",
4/3/2017 20:57:33,Abel Amaya ,pérdida total de la vivienda casa precaria con 5 nenes inavitable.alludar con lo que puedan  por favor,
4/3/2017 20:57:50,Pietrobelli,Se me cayo el cerco del vecino sobre el techo de mi casa se m rompio la pared el cerco mio cayo sobre el vecino de abajo en mi casa somos 8 personas k vivimos hay y son 5 menores y 3 mayores en este momento desocupados y necedito ayuda de lo k puedan darme  desde ya muy agradecida mi dni es 21871 632 ,
4/3/2017 20:58:07,Barrio Laprida,Soy un anciano de 95 años postrado en cama y se cayo una pared de mi dormitorio y se paso de agua mi casita.,
4/3/2017 21:00:50,Barrio Paso Km 3,"Pisos, techo, heladera, cocina, lavarropas, muebles, etc, etc.",
4/3/2017 21:00:51,Quirno Costa,Ingreso de lodo y líquidos cloacales en interior de casa por rejilla de baño.Colapsa red de cloacas frente a domicilio. Asistió hasta el momento secretaria de unión vecinal verificando dichos daños.Haciendo entrega de un bidón de lavandina.,
4/3/2017 21:01:56,Moure,"Inundación y pérdida de todas las pertenencias incluyendo ropa,muebles y electrodomésticos",
4/3/2017 21:02:38,Pietrobelli,se desmorono paredon trasero dejando gran cantidad de lodo sobre la propiedad y hay filtracion de agua sobre toda la propiedad,
4/3/2017 21:02:56,Barrio 30 de Octubre,"Inundacion aproximada de 50 cm, perdida de colchones, panel sanitario, y constante derrame del desague dentro de casa.

",
4/3/2017 21:03:43,Abel Amaya,"Ingreso 1metro de agua y barro a nuestra vivienda. Hubo grandes pérdidas materiales. Existe un alto porcentaje de humedad en las paredes. 
Actualmente estamos evacuados en el Gimnasio Municipal N2. junto con mis hijos, de las cuales una cuánta con capacidades diferentes. ",
4/3/2017 21:04:46,Las Flores,Desbordo el cerro rompio paredon de chapa y entro todo en la casa aparte los electrodomesticos ninguna asistencia,
4/3/2017 21:05:37,Isidro Quiroga,Caída de cielo raso ,
4/3/2017 21:06:06,Juan XXIII,"Imposibilidad de acceder con vehículos por la acumulación de barro, realizo Transporte de Personal, es mi fuente de trabajo ",
4/3/2017 21:06:46,Juan XXIII,Unundacion total ,
4/3/2017 21:08:57,Abel Amaya,Paredes y techo,
4/3/2017 21:08:57,Abel Amaya,Paredes y techo,
4/3/2017 21:10:30,Laprida,"Puertas rotas(de la entrada y de la pieza)muebles,colchones,veradas ventana televisor y ropa",
4/3/2017 21:14:42,Pueyrredon ,"Heladera,lavarropas,somiers 2 plazas y de 1 plaza, cuna de bebé,2 placar de ropa , juegos de mesa y sillas, pava electrónica.",
4/3/2017 21:15:00,Km 12,paredones traseros por caída de agua y barro del cerro,
4/3/2017 21:17:09,Ciudadela ,Filtración en toda la casa,
4/3/2017 21:17:26, Isidro Quiroga,"Solicitamos a la scpl el restablecimiento de energía eléctrica, que está cortada desde el jueves 30/03",
4/3/2017 21:17:33,Pueyrredon,"Es un centro de rehabilitación neurológica, asisten personas con discapacidad, perdimos prácticamente todo, agujeros en paredes, camillas computadoras aparatos de rehabilitación, techos rotos, de todo! Lo más importante sería liberar las calles ya que toda la zona estuvo afectada feo! Un metro de agua por lo menos, por todos lados hay montañas de tierra y ya no sabemos más donde poner ya que todos estamos iguales. El consultorio es lo que me alimenta y vivo de eso, necesitaría retomar cuanto antes, si lo que dicen los pronósticos es verdad todo lo que sacamos lo volvemos a tener adentro y el acceso es imposible y más para persona  con discapacidad!! Ojalá se pueda hacer algo. Desde ya muchas gracias! ",
4/3/2017 21:17:40,Pietrobelli,Pared y techo rotos de chapas y muchas goteras,
4/3/2017 21:17:51,Pueyrredon,"Perdida total de Somier de 2 pl, colchon de 2 pl, colchon de 1 pl, lavarropas, heladera, armario, calefactor y rotura de paredes de durlock. ",
4/3/2017 21:20:04,Laprida ,Caída de muro sostén de terreno y rotura de techo en pieza y baño,
4/3/2017 21:20:26,Roque Gonzalez,"Desprendimiento de terreno me quedo la viga del portón en el aire, me movió todo el terreno por favor si se pueden comunicar para haber si puede ir una maquina,Muchas gracias espero su respuesta por favor. ",
4/3/2017 21:21:56,B Malvina Tres Pinos,Perdio todo la casa inundada total esta en casa de la vecinal por no poder salir  muebles ropa  y casa total,
4/3/2017 21:21:56,Juan XXIII,Inundación y perdida total de todos los bienes,
4/3/2017 21:21:56,Abel Amaya,Filtracion en techo de chapa. Tirantes y Chapadur,
4/3/2017 21:25:37,Jorge Newbery ,"Se desmoronó el cerro, me comio la paredes y me entro agua en el dormitorio Q era alfombrado se desintegro el contrapiso ,me levanto parte de la ceramica necesito un muro de contención y materiales ya Q no tengo trabajo como para  costear la destrucción ",
4/3/2017 21:25:42,Pietrobelli,se desmorono el paredon de contencion trasero lo cual tenemos mucho lodo dentro del terreno y corre peligro la casa de arriba la cual quedo colgando en sector de la misma,
4/3/2017 21:26:52,B gobernador fontana km8,Perdida del techo y se mojo todo el durlok,
4/3/2017 21:29:28,Sector 22 km 8,Pérdida material todo y caída de cielorazo de adentro y lleno de barro agua adentro entró por todo lado ,
4/3/2017 21:30:57,Don Bosco,"2 colchones mojados, placar de madera mojado completamente. ",
4/3/2017 21:31:22,Pueyrredon,perdi casi todo ya q mi esquina pegaba todo el cuadal de agua me rompio todo el paredon de ambos hasta el nicho de gas y me entro 1MTO. de agua a mi casa que es de madera no me quedo mueble sanos y ropa compu heladera labarropa sillones tienen q venir para ver saque todo afuera de la casa estoy totalmenta desprotejidos somos jubilados y cobramos la minima barro por toda la casa y otras cosa afuera demasido barro acumulado.,
4/3/2017 21:32:26,Juan XXIII,Rebalse de cloacas y estancamiento de agua con barro y residuos cloacales,
4/3/2017 21:33:36,Pueyrredon,"ABERTURAS, ELECTRODOMESTICOS, IMPRESORA, TV, DVD, EQUIPO DE AUDIO, SUMIER, COLCHON, BIBLIOTECA, LAVARROPA, CALEFACTOR, SECADOR DE PELO, SILLAS, MESA, BAJOMEADA, MICROONDAS, PLACARD, MESA DE LUZ, LIBROS, CARPETAS, PROYECTOR, SCANER,  NOTBOCK. ",
4/3/2017 21:33:49,San Martín,"Hola me entró mucha agua! Me arruinó las paredes, se mojó todos los alimentos que disponía para mis hijos, etc! Solicitaría ayuda de alimentos, verduras, frutas, carnes, fideos, harinas, agua mineral,etc! Me es indispensable los alimentos ya que tengo mi hijo de 7 años que tiene ""Esteatosis Hepática"" lo material no me interesa! Lo más urgente son los alimentos! Ya que mi hijo debe seguir una dieta estricta! También necesitaría pañales XG para mi bebé! Desde ya gracias! ",
4/3/2017 21:34:32,Pueyrredón ,"Heladera, microondas cafetera, 2 somiers 1p y 2p- cocina, baja mesada- 2 placares- equipo de musica- despencero- tostadora- mesa -modular- futon- mueble de baño- mesita de luz- reloj electrico- notebook hp- tablet 10""-",
4/3/2017 21:36:24,Pueyrredon,"Destruccion total de la casa , heladera frezzer lavarropas lavavajilla ropa zapatos fotos electrodomesticos camas placares sillones mesas y sillas , una vida entera de sacrificios , el auto colchones sabanas frazadas",
4/3/2017 21:36:47,Pueyrredon,perdi casi todo ya q mi esquina pegaba todo el cuadal de agua me rompio todo el paredon de ambos hasta el nicho de gas y me entro 1MTO. de agua a mi casa que es de madera no me quedo mueble sanos y ropa compu heladera labarropa sillones tienen q venir para ver saque todo afuera de la casa estoy totalmenta desprotejidos somos jubilados y cobramos la minima barro por toda la casa y otras cosa afuera demasido barro acumulado.creemos que la casa no es segura x todo el barro que se acomulo entre las paredes de madera,
4/3/2017 21:38:05,San Cayetano,Filtraciones en la casa,
4/3/2017 21:38:48,Pueyrredon,"Se inundó adentro de mi casa ( comedor, cocina, baño, habitaciones)",
4/3/2017 21:41:08,Juan XXIII,"Daños materiales por ingreso de agua y afluentes en el
Interior de la vivienda",
4/3/2017 21:41:27,Juan XXIII,"Rotura del techo de mi vivienda a raiz de la abundante filtracion de agua.Perdida de:cocina, heladera, lavarropas,bajo mesada completo, sillas, inodoro,pileta del baño, 1 cama de 2 plazas y 2 camas de 1 plaza, colchones de dichas  camas, frazadas.Otra complicacion es la cañeria del  desagűe del baño.",
4/3/2017 21:41:53,Centro,"Paredes traseras que dan al pie del cerro con rajaduras importantes y una de ellas con peligro de venirse abajo por el movimiento del cerro que empujò la casa y formò rajaduras desde el piso al techo , hundiò la pared para adentro y descuadrò el techo y ademàs  paredes interiores con rajaduras nuevas.Solicito manden a gente idònea para darme una pronta soluciòn, antes que con una nueva tormenta se venga abajo la pared.",
4/3/2017 21:42:49,Laprida,"Daño por filtraciones: colchón, frazadas, paredes de durlock",
4/3/2017 21:43:02,Pietrobelli,"filtraciones en hogar, sedimientos de sercos ",
4/3/2017 21:43:10,Pueyrredon,Rotura de heladera lavarropa colchones y muebles,
4/3/2017 21:44:21,Rada Tilly,Planta baja con agua y barro y gran cumulo de lodo en entrada a p.b.,
4/3/2017 21:45:22,Pueyrredon,"El nombre correcto de la calle es Miljukow. En el maps, figura como ""Miljukon"" 2 BAJOMESADA, LAVARROPAS, MESAS2, SIILAS 8, HELADERA CON FREEZER, FREEZER COMUN, MUEBLE DE PC, PC FIJA, 2 CALEFACTORES,  1 CAMA DE DOS PLAZAS SUMIER CON COLCHON, UN SUMIER DE UNA PLAZA CON COLCHON, 3 PLACARES 3 CUERPOS,  2 CHIFONIER, 8 PUERTAS PLACAS CON MARCOS, MICROONDAS, 3 MESAS DE LUZ, ABERTURAS, 2 PÚERTAS PRINCIPALES, 1 NOTBOCK",
4/3/2017 21:46:38,Moure,Filtraciones techo chapa. En habitaciones. Tengo piso cemento. Solicito membranas  . El patio de atrás se inundó . Xq no tiene salida solicito caños pvc /pileta de Patio cemento arena ladrillos para hacer desagüe. El patio de frente tambien para realizar veredas. Y la casa no tiene ni grueso ni fino x fuera. Es de bloques. Filtro mucha humedad en la casa. En sus bases. Muchas gracias. Arena mixto cemento cal para grueso y fino. Membranas. Caños pvc. Pileta de Patio. Ladrillos. ,
4/3/2017 21:48:24,Pietrobelli,"movimiento de sercos con riesgo de caer sobre la casa, filtraciones en el hogar",
4/3/2017 21:49:46,Juan XXIII,"Inundación de 40 cm de agua y barro 
Muebles varios totalmente dañados
Necesito que limpien las calles, que retiren el barro para que pueda salir lo que queda dentro de las viviendas",
4/3/2017 21:49:49,Juan XXIII,"Entrada de agua barro  en vivienda por techo paredes y patio de enfrente perdimos 2 habitaciónes pisos paredes techo(placeres,ropa,colchones), circuito eléctrico colapso,daño freezer y heladera ",
4/3/2017 21:52:07,San Martin,Techo y paredes totalmente perdidas el pizo intransitables muebles electrodomesticos cosina heladera cillones sillas mesa aparador mesada alacena labaropa cecaropa cama ropa en general ,
4/3/2017 21:52:09,San Martin,Techo y paredes totalmente perdidas el pizo intransitables muebles electrodomesticos cosina heladera cillones sillas mesa aparador mesada alacena labaropa cecaropa cama ropa en general ,
4/3/2017 21:52:15,Juan XXIII,"Entrada de agua barro  en vivienda por techo paredes y patio de enfrente perdimos 2 habitaciónes pisos paredes techo(placeres,ropa,colchones), circuito eléctrico colapso,daño freezer y heladera ",
4/3/2017 21:53:32,Pueyrredon,"Ingresó 60cm de lodo en toda mi vivienda daños paredes y muebles con humedad ,colchones en general,heladera,lavarropas ,cocina y muy poco en electrodomésticos.",
4/3/2017 21:53:55,Restinga ali,Rotura de techo y calefactores,
4/3/2017 21:54:04,sin nombre,Piso flotante levantado por inundación. Paredes con filtraciones dañando los pisos ,
4/3/2017 21:54:08,Km17,Necesito una vatea se me acumulo mucha mugre que venia con el agua y con mucho trabajo se junto para ponerla en una vatea me tapo las puertas la migre se me paso el agua en una pared.. ,
4/3/2017 21:57:36,Abel Amaya,Techo entró agua y la entrada de casa es puro barro,
4/3/2017 21:57:47,Jorge newvery,Se nos desmoronó el cerco junto con el del vecino . Donde estábamos haciendo una pieza de material se trizo la pared de bloques con hierro pero en cualquier momento se cae  . Es una pared de 10 metros de largo por 5 ancho . Además se nos llovió la casa tuvimos que evacuarnos . Hay 3 incapacitados 1 hombre mayor cardioaco.  Gracias por todo ,
4/3/2017 21:59:06,Centro,"Se me inundo la casa en la que alquilo, se me mojaron todas las cosas... Solicito ayuda mas por mis hijas que son menores de edad y por la humedad que qedo en la casa el miedo es ah que se me enfermen....",
4/3/2017 22:00:00,Barrio Saavedra ,Se me callo el entre techo de mi casa (dormitorios y pasillo). Humedades en las paredes del interior de mi casa. Caída del cerro de la parte trasera de la vivienda  ( se desmoronó) ,
4/3/2017 22:00:19,"Barrio Don Bosco,Plan Federal. Km8","Mi casa quedo colgada el agua socavo la baae de la casa,cayeron los paredones completos, se desbordó la cloaca adentro de casa. Cayeron dos postes de material de la luz sobre la casa. Me hicieeon abandonar x peligro de derrumbe.",
4/3/2017 22:00:40,Cordón forestal los bretes ,Filtraciones en paredes y ventanas ,
4/3/2017 22:02:31,Estela Maris,El paredon de atras de mi casa esta colgado y se esta callendo toda la tierra en mi casa y me tapo la cloaca ,
4/3/2017 22:03:05,Pietrobelli,Se me vino el cerro detras de la casa en la que vivo me entro mucha agua en toda la casa... Y yo en el estado de salud que tengo no puedo vivir asi.... Yo dialiso 3 veces a la semana y no puedo caminar.... Necesitaria ayuda cuanto antes..... ,
4/3/2017 22:04:13,Paso Viejo,"Un generador de 5000 wts, 4 cajas de sonido marca das de 400 wts, 2 potencias digitales 2000 wts cada una, una motosierra marca gama, un cargador arrancador de batería de 12 wts, un lavarropa carga frontal ,una cocina Escorial, una caja de herramientas profesional con herramientas varias para La electricidad.",
4/3/2017 22:05:14,Pueyrredón,"Ingreso de agua y barro en frente.Ingreso de agua por puerta trasera y techos que son de chapa, grietas y rajaduras en la construcción. Siempre se inunda por lluvias intensas y más ahora. Es necesario destapar la alcantarilla que hasta ahora no se hizo como la limpieza del barro y sacar agua ya que llovió y se nos llenó nuevamente todo el garaje y baño de agua con pérdidas de herramientas y materiales para construcción. Ese agua y barro lo sacamos nosotros como el agua de la lluvia del día siguiente.También tuvimos un corto de electricidad donde se quemaron los pilares. La asistencia urgente hoy es que se destape la alcantarilla y limpieza de calle ya que enfrente quedó una montaña de tierra que si llueve ese lodo va a llenar nuestra casa y el desagüe. ",
4/3/2017 22:05:38,Moure,Cama sr 2 plazas mojada y quebrada  por el agua..y heladera se le mojo el motor,
4/3/2017 22:06:56,Peñy Rada tilly,Mucho barro y agua en la pared del fondo filtrando mucho agua en la. Casa se cae la pared del lado de adentro nesesitamos una maquina chiquita que pueda sacar la greda y el agua para que se seque y se pueda volver a poner aislante etc,
4/3/2017 22:07:12,9 de Julio,"Se me inundo la casa con agua de cloaca. Las perdidas son muebles de aglomerado. Despensero, mesa pc, mueble de baño, mesas de luz, placares. Ademas colchones 2 de 1 plaza.",
4/3/2017 22:07:45,Rincon,Cama y placar,
4/3/2017 22:07:58,Roca,Inundación de garage 40 cm de agua pérdidas totales desborde de cloaca general se necesito un camión atmosférico para chupar el agua y desinfectar el lugar ,
4/3/2017 22:09:17,Newbery,"Tengo el cerro caido atras de mi casa una lluvia mas y me quedo sin nada ,tengo menor en el domicilio y no tengo quien me ayuda a sacar el barro que me entra a la casa ",
4/3/2017 22:09:56,Abel Amaya,Dos piezas inundadas,
4/3/2017 22:10:40,Estella Maris ,"Perdida total de bienes por inundacion de barro y residuos cloacales, quedando estancada a un (1) metro cincuenta (50) en toda la propiedad. Documentando.
Familia compuesta por 5 personas",
4/3/2017 22:10:48,Pueyrredon,"Se levanto el piso y se pudrio ya que las cloacas colapsaron y entro agua de cloaca por toda la casa,a las paredes se le cayo el reboque,muebles destruidos,ropa,juguetes.",
4/3/2017 22:11:35,Juan XXIII ,"Inundación completa de terreno, rotura de electrodomésticos  (se quemó la heladera y un tv), se perdieron las camas (2 de 2plazas) perdida total de alfombra de habitación, avistamiento de techo de habitación y ya esta cayendo de a pedazos. Estamos desempleados ",
4/3/2017 22:11:54,Standard Norte,Casa inundada,
4/3/2017 22:12:00,Ceferino,Se me reventaron los duelo de las piezas y me entra agua y las paredes ,
4/3/2017 22:13:18,Jorge Newbery,"Techo,pared,y piso",
4/3/2017 22:14:04,Standard Norte,Destruida - 2 familias - 7 personas en total. 3 adultos (1 embarazada) - 4 niños,
4/3/2017 22:14:06,abel amaya,Dos piezas inundadas. Y la escalera destruida,
4/3/2017 22:14:08,abel amaya,Dos piezas inundadas. Y la escalera destruida,
4/3/2017 22:14:14,Pueyrredon ,"Placard, lavarropas, heladera, equipo de música , tv 43', futon , playstation 4 , sillas, mesa ",
4/3/2017 22:15:09,Pueyrredon ,Toda la casa bajo agua y barro pérdida total,
4/3/2017 22:15:20,Juan XXIII ,Necesitamos que vengan a desagotar las cloacas sacar el barro. Se rompieron muebles cocina 2 lavarropas 2 ganaderas ,
4/3/2017 22:16:02,Jorge Newbery,Destruccion total de la casa,
4/3/2017 22:16:03,Pueyrredón,Perdidas Totales ...,
4/3/2017 22:16:15,Standard Norte,Sin casa - vive de prestada - Semana 16 de embarazo - Dos hijos menores,
4/3/2017 22:17:11,Juan XXIII ,Necesitamos que destape cloacas y saquen el barro. Se dañaron muebles lavarropas cocina y heladera. Mesa sillas autos,
4/3/2017 22:17:18,Jorge Newbery,Destrucción total de la vivienda ,
4/3/2017 22:18:22,"B*30 de octubre, Comodoro Rivadavia ","Cañería de gas llena de agua producto de la inundación aparentemente se partió la línea entre el medidor y el departamento se aviso a camuzzi, retiró el medidor y dijo que debía llamar a un matriculado y hacerme cargo del  arreglo según lo que consulte me sale 50000 pesos aproximado desde noviembre me echo la empresa sin pagarme un centavos después de 39 años de servicio    gracias ",
4/3/2017 22:18:30,Standard Norte,Casa sub alquilada - filtraciones en todo el domicilio - riesgo eléctrico,
4/3/2017 22:20:07,Isidro quiroga,Techo delantero y trasero ,
4/3/2017 22:20:11,Juan XXIII,Camas. Colchones. Heladera lavarropas. Pintura para pared. Mantas. Cocina.,
4/3/2017 22:20:50,Sismografica km3,Se nos cayo el cerro en la parte de atras de la casa y se cayo el cerro adentro del poso no podemos sacar el barro con palas necesitamos una retro escabadora y las calles estan destruidas ,
4/3/2017 22:20:53,Don bosco,Me entro agua en el techo se me mojo todo,
4/3/2017 22:21:12,Rene Favaloro,Heladera camas ropas cocina ,
4/3/2017 22:22:44,Isidro Quiroga,heladera se me mojo dejo de funcionar,
4/3/2017 22:23:33,Saavedra,Zanja aproximadamente 3mts terreno zocabado por agua lluvia construcción con peligro de derrumbe ,
4/3/2017 22:24:07,San Cayetano,"Colchón de 2 plazas arruinado, rotura de cocina, rotura de estufa, rotura de mesa, rotura de sillas. Necesito ayuda para reposición de cosas esenciales que se describen y que ya no tengo y tengo de comprar otras ni usadas ni nuevas.",
4/3/2017 22:25:50,Maximo Abasolo,Techo de pieza de mis hijos llovida y colchones empapados,
4/3/2017 22:25:59,Juan XXIII,Cama colchon microondas .. ropa computadora de pie.. alimentos.frazadas.paredes y puertas.,
4/3/2017 22:26:28,standart norte,Se me derrumbo el techo.de la casa.los caes de corriente están mojado por ese motivo no tengo luz. no tengo gas vivo a garrafa y se me filtro agua por todas las paredes,
4/3/2017 22:26:29,Juan XXIII,Cama colchones. Lavarropa. Heladera. Cocina. Seca ropa. Lcd. Mantas . Pintura. Calefactores. Mueble aparador,
4/3/2017 22:27:16,Bella Vista Sur,"Auto atrapado con agua y barro. Necesito una maquina para sacar barro...abrir calle y remolque, para sacarlo.
Mi vehiculo quedo en kenedy y scalabrini.",
4/3/2017 22:28:03,Paso Viejo Km 3 Gral. Mosconi,"Dormitorio 1: paredes corloc dañadas, somier,colchon , chifonier y ropa destruido. Ďormitorio 2: iden anterior mas pacard. Cocina: bajo mesada desteuida?, heladera, cocina, termotanque mesa y sillas totalmente dañadas.Living: juego sillones, mes ratona , rak de audio mas teatro en casa totalmente dañado; tres calefactores a gas y 3 electricos.lavadero: lavarropas automatico mas secarropa. Elementos electrodomesticos dañados en gral. Paredes, techos ,pisos , cielo razos y puertas interiores dañadas,Patios puertas y cercos dañados, red agua cloacas y electricidad dañados.Automovil dominio PAD237 sistema electrico , opticas y tapizado dañados.
Otros daños a evaluar.
",
4/3/2017 22:30:37,Pueyrredon,"Pintura para pared, heladera, tv, cama, colchón, cocina, lavarropa, ropa de cama, ropa, calzado.",
4/3/2017 22:31:42,Eva peron,Colchones frazadas cocina heladera mesa silla y materiales para lebantar mi casa ya q se levanto el pizo y se filtro agua ,
4/3/2017 22:32:38,San Cayetano,Hola estaria necesitando materiales para rebocar las paredes para q no filtre la humedad y para construir un baño . 1 domitorio . . X q con esta  lluvia se humedecieron las paredes y gotiaban .. muchas gracias espero  una respuesta . Saludos ,
4/3/2017 22:33:05,Abel Amaya,"Desde el vehiculo a los colchones...heladera (2), lavarropas (2), frezzer (1), mesa y sillas de algarrobo, camas (2) de algarrobo, muebles, calefactores (2)",
4/3/2017 22:33:17,Pueyrredon,"Perdidas totales, el agua llego a los 50/80 cms generando la perdida de roperos, camas, colchones, sillas, mesadas, heladera, televisores, ropa de mis 5 hijos y mias.",
4/3/2017 22:33:38,Juan XXIII, Descripcion de los Daños,
4/3/2017 22:33:43,Km8 ,Producto a la torments perdi colchones eladera ext  necesito que. Ayuden con Para contruir Una pieza y un bank de material ya que mi casa es de machimbre y con la torments see. Me esta desarmando xw Las maderas de inchacharon  y tengo 3 hijos pewuenos  Mateo de 4 Noah de 3 y Olivia de 10 meses y necesito x ellos me ayuden y now desaparen ,
4/3/2017 22:34:02,Abel amaya ,Muebles y artefactos arruinados ,
4/3/2017 22:34:07,Pueyrredon," Daños por destrucción total de mobiliarios, Artefactos electrónicos,     art. Personales,  tanto domicilio residencial como comercial (misma     dirección) donde hubo pérdida total de mercadería y maquinarias . Deterioro de los inmuebles  .
Solicitamos la posibilidad de un lugar donde poder habitar momentáneamente,  ya que este se encuentra inhabitable  por pérdidas totales.",
4/3/2017 22:34:09,Km 8 standart norte ,El techo se me esta x caer eso es lo mas importante,
4/3/2017 22:34:13,Centro ,Se llovio todo un lado del dto.  Necesito pintura para mejorarlo.  Soy jubilada,
4/3/2017 22:34:23,Estella marii,"Inundación de vivienda, barro, goteras, perdy casi todo quede con lo puesto, osea techo paredes y piso ( todo )",
4/3/2017 22:37:07,Km 8 standart norte,"Se llovieron paredes y techo de una habitacion,  necesitaria pintura y membrana para el lecho o pintura asfáltica . ",
4/3/2017 22:37:37,Isidro Quiroga,"Techo y paredes, ventanas y cama de una plaza y colchón",
4/3/2017 22:38:02,Jorge Newbery,Caida de cerco,
4/3/2017 22:38:04,San Martin,Techo y paredes totalmente perdidas el pizo intransitables muebles electrodomesticos cosina heladera cillones sillas mesa aparador mesada alacena labaropa cecaropa cama ropa en general ,
4/3/2017 22:39:12,Pueyrredon,Casi todo tapado de barro ..electrodomesticos ...camas.colchones...,
4/3/2017 22:39:17,Pueyrredon,"1 mts de agua y barro en toda la propiedad, perdi TODO. ",
4/3/2017 22:39:50,Las Flores,Casa inundada,
4/3/2017 22:41:31,Moure,Heladera Muebles Y un Auto ,
